posting_title,category,publication_date,publication_language,description_paragraph,description_list,status,workspace_id
Kruindersweg & deel Oude Baan - wegeniswerken,Wegenbouwwerken,2024-07-01T00:00:45.50017,NL,"Voor de diensten Werken en Wegen is het al enkele jaren niet meer haalbaar om lokaal en puntsgewijs herstellingen uit te voeren aan de Kruindersweg en een gedeelte van de Oude Baan. De 30 jaar oude gebakken kleiklinkers liggen in een wegzate die in een zigzag-vorm heeft waardoor er veel wringbewegingen op gebeuren. Hierdoor breken of verpulveren de kleiklinkers waardoor herstellingen niet meer bij te houden zijn. Deze klinkers zijn zeer specifiek van uitvoering en detaillering en zijn niet meer verkrijgbaar, waardoor 1 op 1 vervanging niet mogelijk is.   Omwille van de geschetste problematiek van tijdelijke herstellingen, is een grondig herstel op korte termijn van de bestrating en goten in kleiklinkers te vervangen door betonklinkers noodzakelijk. De voetpaden in blauwe hardsteen worden wel behouden en plaatselijk hersteld.  Het betreft hier het traject van de Kruindersweg en de Oude Baan tussen het kruispunt Kruindersweg en de Pauwengraaf.","['Wegenbouwwerken', 'Bouwrijp maken van terreinen', 'Graafwerkzaamheden en grondverzet']",ACTIVE,40714cd2-6d58-472a-b519-ad71f1fa8b5e
5754424033 - 2 Sécurisation d'installations diverses par la pose de clôtures et barrières de sécurité ZONE SUD ,"Travaux d'installation de clôtures, de garde-corps et de dispositifs de sécurité",2024-07-01T00:00:45.449437,FR,Le présent marché est un accord-cadre de travaux.  Ce marché concerne:  - la pose de clôtures et portillons et barrières - la réparation des clôtures et barrières - l’entretien des barrières,"[""Travaux d'installation de clôtures, de garde-corps et de dispositifs de sécurité""]",ACTIVE,e4e57b8c-dd56-4af9-a844-9f080ed858b5
HELMo Campus COTEAUX - lot 2 - Chapes et carrelages ,Carrelages,2024-07-01T00:00:45.418684,FR,"Objet de l'entreprise : parachèvements d’une cafétéria, de locaux divers et mise en conformité incendie sur le Campus des Coteaux situés en plein coeur historique de Liège, Rue Hors chateau.  Attention : Le lot 1 est mentionné pour mémoire et n'est pas compris dans le marché. Il est mentionné pour ne pas perturber la numérotation initiale  des lots ","['Travaux de chape', 'Travaux de parachèvement de bâtiment', 'Carrelages']",ACTIVE,a7749b9b-f529-4f9b-b337-6182e8789d21
"5753423193 - 1 Ligne 44 : Pepinster – Spa Géronstère, commune de Theux Construction d’un passage inférieur au km 7,196 pour suppression du passage à niveau n°10 ",Travaux de construction,2024-07-01T00:00:45.529642,FR,"Ligne 44 : Pepinster – Spa Géronstère, commune de Theux Construction d’un passage inférieur au km 7,196 pour suppression du passage à niveau n°10 ",['Travaux de construction complète ou partielle et travaux de génie civil'],ACTIVE,a1ef2642-cc67-492a-a12b-449b16915743
Kinderopvang 't Huis - Nieuwbouw Buitenschoolse Kinderopvang - uitvoerder,Bouwwerkzaamheden,2024-07-01T00:00:45.263581,NL,"Het lokaal bestuur van Maasmechelen wil overgaan tot het bouwen van een nieuwe buitenschoolse kinderopvang aan de Prinsenpark-site. In het aanbestedingsdossier is rekening gehouden met de noden van het decreet buitenschoolse opvang en activiteiten, brandweereisen, toegankelijkheid, en voldoet de buitenschoolse kinderopvang aan de toekomstige energie-eisen door gebruik te maken van uitstekende isolatie, luchtdichte constructie en duurzame energiebronnen zoals een geothermische warmtepomp en zonnepanelen. ",['Bouwwerkzaamheden'],ACTIVE,1d0958ad-c5b8-4c53-92a8-ee2019026fe0
60/53/64/22/0000457 - 1,Ouvrages d'art et de génie civil,2024-07-01T00:00:45.136084,FR,"Gare de Tubize : Couloir sous voies, auvents et accès PMR  Le marché consiste essentiellement en la construction d’auvents sur les quais, la construction de cages d’ascenseur, la rénovation du couloir sous voies, le déplacement d’une cabine sanitaire, la construction d’un auvent/abris vélo, des travaux électriques et d’égouttage.   L’objet du marché est décrit plus avant dans le cahier spécial des charges et dans les autres documents du marché disponibles sur la plateforme publicprocurement.be.","['Travaux de construction de gares de chemin de fer', ""Ouvrages d'art et de génie civil""]",ACTIVE,085d58f4-8d53-413a-8fc8-3122454d13bc
"Création de trottoirs, de place de stationnement et de pistes cyclables suggérées à la rue Vieux Moulin à Ellezelles ",Travaux de construction de pistes cyclables,2024-07-01T00:00:45.291121,FR,"- Démolition de revêtements et de fondations.  - Terrassement pour mise à la côte. - Mise en oeuvre de sous-fondations et fondations.  - Pose d'éléments linéraires.  - Mise en oeuvre de revêtement bitumineux  - Mise en oeuvre de pavés en béton.  - Mise en oeuvre de ESHP.  Le type de réseau sur lequel s'effectuent les travaux, conformément au B.1. du CCT Qualiroutes est III.  Les travaux décrits ci-dessus ne dont pas exhaustifs, le détail des travaux est repris dans les clauses techniques et le métré récapitulatif annexés au présent cahier spécial des charges.  Dans le cadre du présent marché, le pouvoir adjudicateur entend lutter contre le dumping social et la fraude sociale.",['Travaux de construction de pistes cyclables'],ACTIVE,4e769d3a-8d49-48a1-8c26-912010a5cd26
Levering van een minigraver voor begraafplaats,Graafmachines,2024-07-01T00:00:45.329996,NL,"De minigraver wordt ingezet op de gemeentelijke begraafplaats en zal gebruikt worden voor graafwerken en hijswerken.  De inschrijver dient, voorafgaand het indienen van zijn offerte, een demo te geven over het aangeboden voertuig.  De datum van die demo wordt afgesproken met de toezichter, Stefanie Houquet, medewerker team Technische Diensten, unit Groen - 00 32 475 48 97 86   ","['Graafmachines', 'Graafemmers, schoppen, grijpers en tangen voor kranen of graafmachines']",ACTIVE,b13545ba-08c8-49ef-bc98-6edb1785b9e2
Pose de canalisations et de filets d'eau - Année 2024,Travaux de construction de canalisations d'eaux pluviales,2024-07-01T00:00:45.231654,FR,Pose de canalisations et de filets d'eau - Année 2024,"[""Travaux de construction de canalisations d'eaux pluviales""]",ACTIVE,7f801c9f-c445-42d9-8dc3-1357743f05da
Leveren en plaatsen van zonnewering,Externe zonnewering,2024-07-01T00:00:45.167778,NL,Deze opdracht omvat het leveren en plaatsen van elektrische zonnewering inclusief de nodige bekabeling,['Externe zonnewering'],ACTIVE,29db25e0-4d60-41e1-86ff-f662da1d18ce
